operator_id,candidate_id,parameter_name,shape,mean_abs,max_abs
distilbert_sst2.layer0.layernorm.attention_layernorm,layernorm.exact.high.v1,weight,[768],0.8409609198570251,2.961405038833618
distilbert_sst2.layer0.layernorm.attention_layernorm,layernorm.exact.high.v1,bias,[768],0.20449066162109375,4.300524711608887
distilbert_sst2.layer0.layernorm.ffn_layernorm,layernorm.exact.high.v1,weight,[768],0.7480886578559875,0.8488892316818237
distilbert_sst2.layer0.layernorm.ffn_layernorm,layernorm.exact.high.v1,bias,[768],0.07301070541143417,1.3931814432144165
distilbert_sst2.layer1.layernorm.attention_layernorm,layernorm.exact.high.v1,weight,[768],0.7815558910369873,2.0528085231781006
distilbert_sst2.layer1.layernorm.attention_layernorm,layernorm.exact.high.v1,bias,[768],0.13044409453868866,2.082331895828247
distilbert_sst2.layer1.layernorm.ffn_layernorm,layernorm.exact.high.v1,weight,[768],0.8279394507408142,0.9362996220588684
distilbert_sst2.layer1.layernorm.ffn_layernorm,layernorm.exact.high.v1,bias,[768],0.06518978625535965,0.32265976071357727
distilbert_sst2.layer2.layernorm.attention_layernorm,layernorm.centered.mid_cost.v1,weight,[768],0.7509395480155945,3.887705087661743
distilbert_sst2.layer2.layernorm.attention_layernorm,layernorm.centered.mid_cost.v1,bias,[768],0.1126750037074089,1.3366684913635254
distilbert_sst2.layer2.layernorm.ffn_layernorm,layernorm.exact.high.v1,weight,[768],0.8113958835601807,0.9447935223579407
distilbert_sst2.layer2.layernorm.ffn_layernorm,layernorm.exact.high.v1,bias,[768],0.04941042885184288,0.2554383873939514
distilbert_sst2.layer3.layernorm.attention_layernorm,layernorm.exact.high.v1,weight,[768],0.737703263759613,3.4668407440185547
distilbert_sst2.layer3.layernorm.attention_layernorm,layernorm.exact.high.v1,bias,[768],0.11322716623544693,2.176931619644165
distilbert_sst2.layer3.layernorm.ffn_layernorm,layernorm.exact.high.v1,weight,[768],0.7744610905647278,1.1560099124908447
distilbert_sst2.layer3.layernorm.ffn_layernorm,layernorm.exact.high.v1,bias,[768],0.053087178617715836,0.9506604671478271
distilbert_sst2.layer4.layernorm.attention_layernorm,layernorm.exact.high.v1,weight,[768],0.7318122982978821,2.4744503498077393
distilbert_sst2.layer4.layernorm.attention_layernorm,layernorm.exact.high.v1,bias,[768],0.10089556127786636,1.4634907245635986
distilbert_sst2.layer4.layernorm.ffn_layernorm,layernorm.centered.mid_cost.v1,weight,[768],0.7767688632011414,1.426648497581482
distilbert_sst2.layer4.layernorm.ffn_layernorm,layernorm.centered.mid_cost.v1,bias,[768],0.047250837087631226,0.402704119682312
distilbert_sst2.layer5.layernorm.attention_layernorm,layernorm.exact.high.v1,weight,[768],0.771389901638031,1.536760926246643
distilbert_sst2.layer5.layernorm.attention_layernorm,layernorm.exact.high.v1,bias,[768],0.07563375681638718,2.153366804122925
distilbert_sst2.layer5.layernorm.ffn_layernorm,layernorm.exact.high.v1,weight,[768],0.6054818630218506,0.7520410418510437
distilbert_sst2.layer5.layernorm.ffn_layernorm,layernorm.exact.high.v1,bias,[768],0.03988423943519592,0.3625761568546295
