operator_id,layer_index,operator_type,operator_name,from_candidate_id,to_candidate_id,accepted,reason,benefit,cost_saving,single_accuracy_drop,combined_accuracy,combined_accuracy_drop,combined_logit_kl,combined_label_flip_rate
distilbert_sst2.layer5.gelu.ffn_activation,5,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree11.v1,False,violates_max_logit_kl+max_label_flip_rate,3329999999.999998,3.3299999999999983,0.0,0.9765625,0.015625,0.08757080137729645,0.03125
distilbert_sst2.layer5.gelu.ffn_activation,5,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree9.v1,False,violates_max_logit_kl+max_label_flip_rate,162741039.0580595,7.780000000000001,0.0,0.9765625,0.015625,0.08756904304027557,0.03125
distilbert_sst2.layer4.gelu.ffn_activation,4,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree11.v1,False,violates_max_logit_kl+max_label_flip_rate,143060655.9319575,3.3299999999999983,0.0,0.9765625,0.015625,0.08759736269712448,0.03125
distilbert_sst2.layer4.layernorm.attention_layernorm,4,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.newton.low_iter.v1,False,violates_max_logit_kl+max_label_flip_rate,90662679.4855863,16.020000000000003,0.0,0.9765625,0.015625,0.08736616373062134,0.03125
distilbert_sst2.layer4.gelu.ffn_activation,4,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree9.v1,False,violates_max_logit_kl+max_label_flip_rate,62309520.2988917,7.780000000000001,0.0,0.9765625,0.015625,0.08758948743343353,0.03125
distilbert_sst2.layer3.gelu.ffn_activation,3,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree11.v1,False,violates_max_logit_kl+max_label_flip_rate,52506151.45326366,3.3299999999999983,0.0,0.9765625,0.015625,0.08764299750328064,0.03125
distilbert_sst2.layer4.layernorm.ffn_layernorm,4,layernorm,ffn_layernorm,layernorm.exact.high.v1,layernorm.newton.low_iter.v1,False,violates_max_logit_kl+max_label_flip_rate,19846010.210606433,16.020000000000003,0.0,0.9765625,0.015625,0.08841656148433685,0.03125
distilbert_sst2.layer3.gelu.ffn_activation,3,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree9.v1,False,violates_max_logit_kl+max_label_flip_rate,7179653.925203576,7.780000000000001,0.0,0.9765625,0.015625,0.08841121196746826,0.03125
distilbert_sst2.layer2.layernorm.attention_layernorm,2,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.newton.low_iter.v1,False,violates_max_logit_kl+max_label_flip_rate,6362420.367405519,16.020000000000003,0.0,0.98046875,0.01171875,0.0656633973121643,0.02734375
distilbert_sst2.layer3.layernorm.attention_layernorm,3,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.newton.low_iter.v1,False,violates_max_logit_kl+max_label_flip_rate,4686707.932460229,16.020000000000003,0.0,0.9765625,0.015625,0.08743610978126526,0.03125
distilbert_sst2.layer5.layernorm.attention_layernorm,5,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.newton.low_iter.v1,False,violates_max_logit_kl+max_label_flip_rate,3953058.911180728,16.020000000000003,0.0,0.9765625,0.015625,0.08789882063865662,0.03125
distilbert_sst2.layer5.softmax.attention_softmax,5,softmax,attention_softmax,softmax.exact.high.v1,softmax.poly_exp.degree2.v1,False,violates_max_logit_kl+max_label_flip_rate,2705090.2541325786,13.04,0.0,0.9765625,0.015625,0.08755872398614883,0.03125
distilbert_sst2.layer1.layernorm.attention_layernorm,1,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.newton.low_iter.v1,False,violates_max_logit_kl+max_label_flip_rate,2657692.546792291,16.020000000000003,0.0,0.98046875,0.01171875,0.07215674221515656,0.02734375
distilbert_sst2.layer1.gelu.ffn_activation,1,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree11.v1,False,violates_max_logit_kl+max_label_flip_rate,1935295.3815034449,3.3299999999999983,0.0,0.9765625,0.015625,0.08642122149467468,0.03125
distilbert_sst2.layer5.layernorm.ffn_layernorm,5,layernorm,ffn_layernorm,layernorm.exact.high.v1,layernorm.newton.low_iter.v1,False,violates_max_logit_kl+max_label_flip_rate,1880552.3089673095,16.020000000000003,0.0,0.9765625,0.015625,0.08677227795124054,0.03125
distilbert_sst2.layer4.layernorm.attention_layernorm,4,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.centered.mid_cost.v1,False,violates_max_logit_kl+max_label_flip_rate,1463813.2358725327,23.622,0.0,0.97265625,0.01953125,0.08434265851974487,0.03515625
distilbert_sst2.layer4.layernorm.attention_layernorm,4,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.affine.low_cost.v1,False,below_min_quality_rank,1432200.2236717828,27.634,0.0,,,,
distilbert_sst2.layer5.gelu.ffn_activation,5,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree5.v1,False,violates_max_logit_kl+max_label_flip_rate,1428410.5691535578,12.630000000000003,0.0,0.9765625,0.015625,0.08881515264511108,0.03125
distilbert_sst2.layer0.layernorm.attention_layernorm,0,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.newton.low_iter.v1,False,violates_max_logit_kl+max_label_flip_rate,1080651.7586993636,16.020000000000003,0.0,0.9765625,0.015625,0.08905645459890366,0.03125
distilbert_sst2.layer0.gelu.ffn_activation,0,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree11.v1,False,violates_max_logit_kl+max_label_flip_rate,1034881.126029657,3.3299999999999983,0.0,0.9765625,0.015625,0.08566567301750183,0.03125
distilbert_sst2.layer5.layernorm.attention_layernorm,5,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.affine.low_cost.v1,False,below_min_quality_rank,814695.8116706611,27.634,0.0,,,,
distilbert_sst2.layer1.softmax.attention_softmax,1,softmax,attention_softmax,softmax.exact.high.v1,softmax.poly_exp.degree2.v1,False,violates_max_logit_kl+max_label_flip_rate,769774.231314619,13.04,0.0,0.9765625,0.015625,0.08186754584312439,0.03125
