operator_id,layer_index,operator_type,operator_name,operator_path,candidate_id,baseline_accuracy,candidate_accuracy,accuracy_drop,logit_kl,label_flip_rate,hidden_l2,attention_kl,sensitivity_score
distilbert_sst2.layer0.softmax.attention_softmax,0,softmax,attention_softmax,distilbert.transformer.layer.0.attention,softmax.exact.high.v1,0.9921875,0.9921875,0.0,4.693613846029621e-06,0.0,0.0,0.0,4.693613846029621e-06
distilbert_sst2.layer0.softmax.attention_softmax,0,softmax,attention_softmax,distilbert.transformer.layer.0.attention,softmax.clipped.stable.v1,0.9921875,0.9921875,0.0,9.055407645064406e-06,0.0,0.0,0.0,9.055407645064406e-06
distilbert_sst2.layer0.softmax.attention_softmax,0,softmax,attention_softmax,distilbert.transformer.layer.0.attention,softmax.poly_exp.degree2.v1,0.9921875,0.9921875,0.0,3.96155592170544e-05,0.0,0.0,0.0,3.96155592170544e-05
distilbert_sst2.layer0.softmax.attention_softmax,0,softmax,attention_softmax,distilbert.transformer.layer.0.attention,softmax.power.degree2.v1,0.9921875,0.9921875,0.0,0.00010943863890133798,0.0,0.0,0.0,0.00010943863890133798
distilbert_sst2.layer1.softmax.attention_softmax,1,softmax,attention_softmax,distilbert.transformer.layer.1.attention,softmax.exact.high.v1,0.9921875,0.9921875,0.0,0.00023967365268617868,0.0,0.0,0.0,0.00023967365268617868
distilbert_sst2.layer1.softmax.attention_softmax,1,softmax,attention_softmax,distilbert.transformer.layer.1.attention,softmax.clipped.stable.v1,0.9921875,0.9921875,0.0,8.761918434174731e-05,0.0,0.0,0.0,8.761918434174731e-05
distilbert_sst2.layer1.softmax.attention_softmax,1,softmax,attention_softmax,distilbert.transformer.layer.1.attention,softmax.poly_exp.degree2.v1,0.9921875,0.9921875,0.0,1.694003185548354e-05,0.0,0.0,0.0,1.694003185548354e-05
distilbert_sst2.layer1.softmax.attention_softmax,1,softmax,attention_softmax,distilbert.transformer.layer.1.attention,softmax.power.degree2.v1,0.9921875,0.9921875,0.0,0.00020363691146485507,0.0,0.0,0.0,0.00020363691146485507
distilbert_sst2.layer2.softmax.attention_softmax,2,softmax,attention_softmax,distilbert.transformer.layer.2.attention,softmax.exact.high.v1,0.9921875,0.9921875,0.0,4.5413926272885874e-05,0.0,0.0,0.0,4.5413926272885874e-05
distilbert_sst2.layer2.softmax.attention_softmax,2,softmax,attention_softmax,distilbert.transformer.layer.2.attention,softmax.clipped.stable.v1,0.9921875,0.9921875,0.0,3.601989374146797e-05,0.0,0.0,0.0,3.601989374146797e-05
distilbert_sst2.layer2.softmax.attention_softmax,2,softmax,attention_softmax,distilbert.transformer.layer.2.attention,softmax.poly_exp.degree2.v1,0.9921875,0.9921875,0.0,3.4258730011060834e-05,0.0,0.0,0.0,3.4258730011060834e-05
distilbert_sst2.layer2.softmax.attention_softmax,2,softmax,attention_softmax,distilbert.transformer.layer.2.attention,softmax.power.degree2.v1,0.9921875,0.9921875,0.0,0.0001727089547784999,0.0,0.0,0.0,0.0001727089547784999
distilbert_sst2.layer3.softmax.attention_softmax,3,softmax,attention_softmax,distilbert.transformer.layer.3.attention,softmax.exact.high.v1,0.9921875,0.9921875,0.0,0.00013827883230987936,0.0,0.0,0.0,0.00013827883230987936
distilbert_sst2.layer3.softmax.attention_softmax,3,softmax,attention_softmax,distilbert.transformer.layer.3.attention,softmax.clipped.stable.v1,0.9921875,0.98828125,0.00390625,0.013393939472734928,0.00390625,0.0,0.0,0.021206439472734928
distilbert_sst2.layer3.softmax.attention_softmax,3,softmax,attention_softmax,distilbert.transformer.layer.3.attention,softmax.poly_exp.degree2.v1,0.9921875,0.9921875,0.0,8.435222116531804e-05,0.0,0.0,0.0,8.435222116531804e-05
distilbert_sst2.layer3.softmax.attention_softmax,3,softmax,attention_softmax,distilbert.transformer.layer.3.attention,softmax.power.degree2.v1,0.9921875,0.9921875,0.0,0.00020853994647040963,0.0,0.0,0.0,0.00020853994647040963
distilbert_sst2.layer4.softmax.attention_softmax,4,softmax,attention_softmax,distilbert.transformer.layer.4.attention,softmax.exact.high.v1,0.9921875,0.9921875,0.0,3.339474915264873e-06,0.0,0.0,0.0,3.339474915264873e-06
distilbert_sst2.layer4.softmax.attention_softmax,4,softmax,attention_softmax,distilbert.transformer.layer.4.attention,softmax.clipped.stable.v1,0.9921875,0.9921875,0.0,1.4326600421554758e-06,0.0,0.0,0.0,1.4326600421554758e-06
distilbert_sst2.layer4.softmax.attention_softmax,4,softmax,attention_softmax,distilbert.transformer.layer.4.attention,softmax.poly_exp.degree2.v1,0.9921875,0.9921875,0.0,2.2753407392883673e-05,0.0,0.0,0.0,2.2753407392883673e-05
distilbert_sst2.layer4.softmax.attention_softmax,4,softmax,attention_softmax,distilbert.transformer.layer.4.attention,softmax.power.degree2.v1,0.9921875,0.9921875,0.0,0.000560712767764926,0.0,0.0,0.0,0.000560712767764926
distilbert_sst2.layer5.softmax.attention_softmax,5,softmax,attention_softmax,distilbert.transformer.layer.5.attention,softmax.exact.high.v1,0.9921875,0.9921875,0.0,3.1697636586613953e-06,0.0,0.0,0.0,3.1697636586613953e-06
distilbert_sst2.layer5.softmax.attention_softmax,5,softmax,attention_softmax,distilbert.transformer.layer.5.attention,softmax.clipped.stable.v1,0.9921875,0.9921875,0.0,3.9432069343092735e-07,0.0,0.0,0.0,3.9432069343092735e-07
distilbert_sst2.layer5.softmax.attention_softmax,5,softmax,attention_softmax,distilbert.transformer.layer.5.attention,softmax.poly_exp.degree2.v1,0.9921875,0.9921875,0.0,4.820541562366998e-06,0.0,0.0,0.0,4.820541562366998e-06
distilbert_sst2.layer5.softmax.attention_softmax,5,softmax,attention_softmax,distilbert.transformer.layer.5.attention,softmax.power.degree2.v1,0.9921875,0.9921875,0.0,0.00010422619379824027,0.0,0.0,0.0,0.00010422619379824027
