operator_id,operator_type,layer_index,operator_name,operator_path,sample_count,mean,std,min,max,abs_p95,abs_p99,rms_mean,var_min,var_p01,var_p05,var_mean,var_p95,var_p99
distilbert_sst2.layer0.layernorm.attention_layernorm,layernorm,0,attention_layernorm,distilbert.transformer.layer.0.sa_layer_norm,25165824,-0.09197177365422249,0.5561215314148784,-28.203319549560547,7.041930675506592,1.1699824333190918,1.7357357740402222,0.5636754073510153,0.19608154892921448,0.20816071331501007,0.21803724765777588,0.3083632215857506,0.7587512135505676,0.9480151534080505
distilbert_sst2.layer0.gelu.ffn_activation,gelu,0,ffn_activation,distilbert.transformer.layer.0.ffn.activation,100663296,-2.1686368733644485,1.5588829117126817,-21.923057556152344,18.490821838378906,4.399199485778809,5.372904300689697,2.6707867419443545,0.0,0.0,0.0,0.0,0.0,0.0
distilbert_sst2.layer0.layernorm.ffn_layernorm,layernorm,0,ffn_layernorm,distilbert.transformer.layer.0.output_layer_norm,25165824,-0.11343081947416067,2.530374824238131,-70.33782196044922,14.240981101989746,2.201655626296997,3.2211546897888184,2.5329159681964843,0.7984680533409119,1.0896142721176147,1.7653543949127197,6.402127414941788,9.840202331542969,11.689852714538574
distilbert_sst2.layer1.layernorm.attention_layernorm,layernorm,1,attention_layernorm,distilbert.transformer.layer.1.sa_layer_norm,25165824,-0.01748398959171027,0.5770497584481078,-28.271949768066406,7.5974931716918945,0.9659792184829712,1.597667932510376,0.5773145707645552,0.17439338564872742,0.20208768546581268,0.21823719143867493,0.3329668641090393,0.7880892157554626,1.044514536857605
distilbert_sst2.layer1.gelu.ffn_activation,gelu,1,ffn_activation,distilbert.transformer.layer.1.ffn.activation,100663296,-1.8598501831293106,1.1517066980976227,-27.994281768798828,37.14910125732422,3.6840920448303223,4.520043849945068,2.1875719467320516,0.0,0.0,0.0,0.0,0.0,0.0
distilbert_sst2.layer1.layernorm.ffn_layernorm,layernorm,1,ffn_layernorm,distilbert.transformer.layer.1.output_layer_norm,25165824,-0.051866921596229076,1.6070212783479407,-206.3956756591797,6.965104103088379,1.4222530126571655,2.1368162631988525,1.6078580679335224,0.9007399082183838,1.080467939376831,1.4183852672576904,2.582005187869072,2.7058942317962646,3.460829973220825
distilbert_sst2.layer2.layernorm.attention_layernorm,layernorm,2,attention_layernorm,distilbert.transformer.layer.2.sa_layer_norm,25165824,-0.020146979368291795,0.6554397148607306,-14.56391429901123,5.2601470947265625,1.0891104936599731,1.6816672086715698,0.6557492818100392,0.22724446654319763,0.2633804678916931,0.27858489751815796,0.42959215492010117,0.8710939884185791,1.1508066654205322
distilbert_sst2.layer2.gelu.ffn_activation,gelu,2,ffn_activation,distilbert.transformer.layer.2.ffn.activation,100663296,-1.5966577753424644,1.1363317532364348,-55.77576446533203,24.99411392211914,3.5958900451660156,4.91232442855835,1.959736182493689,0.0,0.0,0.0,0.0,0.0,0.0
distilbert_sst2.layer2.layernorm.ffn_layernorm,layernorm,2,ffn_layernorm,distilbert.transformer.layer.2.output_layer_norm,25165824,-0.047908264910802245,1.6651241408794184,-357.1557312011719,7.3389458656311035,1.4606752395629883,2.089735746383667,1.6658131967259069,0.8028329610824585,0.9778852462768555,1.173377275466919,2.771314263343811,1.8630938529968262,2.1427600383758545
distilbert_sst2.layer3.layernorm.attention_layernorm,layernorm,3,attention_layernorm,distilbert.transformer.layer.3.sa_layer_norm,25165824,-0.021501144976355135,0.8744857087603654,-20.736534118652344,6.495058059692383,1.5147100687026978,2.176562786102295,0.874749995176572,0.2536170780658722,0.3915727138519287,0.4432612955570221,0.7647086158394814,1.4722899198532104,1.9361320734024048
distilbert_sst2.layer3.gelu.ffn_activation,gelu,3,ffn_activation,distilbert.transformer.layer.3.ffn.activation,100663296,-1.3605383485555649,0.9688212587310351,-18.882400512695312,9.045876502990723,3.0996179580688477,3.942608594894409,1.670233285879398,0.0,0.0,0.0,0.0,0.0,0.0
distilbert_sst2.layer3.layernorm.ffn_layernorm,layernorm,3,ffn_layernorm,distilbert.transformer.layer.3.output_layer_norm,25165824,-0.04528034571558237,1.078843713702307,-107.46890258789062,9.764616012573242,1.4965490102767944,2.024639844894409,1.0797935304043584,0.6380245685577393,0.7018519639968872,0.7531639933586121,1.1638081222772598,1.3755888938903809,2.3307268619537354
distilbert_sst2.layer4.layernorm.attention_layernorm,layernorm,4,attention_layernorm,distilbert.transformer.layer.4.sa_layer_norm,25165824,-0.03109825891442597,1.2918526704793263,-25.667278289794922,7.924128532409668,2.489475727081299,3.3936030864715576,1.2922269243178905,0.21748457849025726,0.5977736115455627,0.7991668581962585,1.6688612177968025,3.59859037399292,3.9601237773895264
distilbert_sst2.layer4.gelu.ffn_activation,gelu,4,ffn_activation,distilbert.transformer.layer.4.ffn.activation,100663296,-1.2271552979946136,1.0587480805468596,-41.132659912109375,75.67179870605469,2.8565638065338135,3.9115138053894043,1.6207583482610566,0.0,0.0,0.0,0.0,0.0,0.0
distilbert_sst2.layer4.layernorm.ffn_layernorm,layernorm,4,ffn_layernorm,distilbert.transformer.layer.4.output_layer_norm,25165824,-0.04466270352713764,1.8007696656869367,-831.02294921875,432.5195617675781,1.9632691144943237,2.688668727874756,1.8013234429009675,0.5462297201156616,0.6215351819992065,0.6938393115997314,3.239473357796669,2.0138356685638428,48.68482208251953
distilbert_sst2.layer5.layernorm.attention_layernorm,layernorm,5,attention_layernorm,distilbert.transformer.layer.5.sa_layer_norm,25165824,-0.05250443075783551,1.914446251104213,-32.50981903076172,12.525346755981445,3.96980357170105,5.2410383224487305,1.9151660929580443,0.08396534621715546,0.3718871474266052,1.2819632291793823,3.664995416998863,6.779029846191406,7.187631130218506
distilbert_sst2.layer5.gelu.ffn_activation,gelu,5,ffn_activation,distilbert.transformer.layer.5.ffn.activation,100663296,-1.0730669870972633,0.974664325197969,-24.57889175415039,8.61811637878418,2.610313653945923,3.4222614765167236,1.4496355768301254,0.0,0.0,0.0,0.0,0.0,0.0
distilbert_sst2.layer5.layernorm.ffn_layernorm,layernorm,5,ffn_layernorm,distilbert.transformer.layer.5.output_layer_norm,25165824,-0.04976517497561872,1.117812412211652,-32.4577751159668,13.876668930053711,2.0389773845672607,2.5126044750213623,1.118919640338298,0.7545072436332703,0.888243556022644,0.931078314781189,1.2494267374277115,1.7755159139633179,1.8804634809494019
